1	1	435000	3	1.26067814657019
1	435001	900000	12	1.98825114258811
1	900001	1450000	55	1.78571271658185
1	1450001	1480000	3	1.29109933192804
1	1480001	2290000	81	1.78237388517957
1	2290001	2360000	7	1.60080768686268
1	2360001	4100000	166	1.81692642505156
1	4100001	4180000	8	1.3734458202119
1	4180001	4590000	41	1.50702150066247
1	4590001	4800000	21	1.35303578863789
1	4800001	5240000	44	1.56829830539203
1	5240001	5540000	30	1.48339210937171
1	5540001	5680000	14	1.57756560205023
1	5680001	5970000	29	1.39590426413046
1	5970001	6640000	67	1.29764881765988
1	6640001	7420000	78	1.51414146348905
1	7420001	7710000	29	1.34406228929262
1	7710001	8150000	44	1.5796445925273
1	8150001	8380000	23	1.4130377416788
1	8380001	8840000	46	1.6103787051347
1	8840001	9590000	75	1.3970658276702
1	9590001	9690000	10	1.26724897761734
1	9690001	10620000	93	1.50107909751437
1	10620001	11080000	46	1.36509371788517
1	11080001	11290000	21	1.52689409433261
1	11290001	12220000	93	1.36103106861706
1	12220001	12460000	24	1.63093580784705
1	12460001	12780000	32	1.91680024813481
1	12780001	13020000	14	1.27261850066158
1	13020001	13200000	4	2.4309159290955
1	13200001	13370000	14	1.46692997039624
1	13370001	15730000	236	1.93415042213432
1	15730001	15810000	8	1.7281159259321
1	15810001	16510000	70	1.8802180737157
1	16510001	16710000	18	1.48051591598683
1	16710001	16950000	17	1.76908087066308
1	16950001	17020000	7	1.2158792831831
1	17020001	19100000	208	1.42010735854343
1	19100001	19220000	12	1.62720949199484
1	19220001	19350000	13	1.39136409820991
1	19350001	19640000	29	1.51487630776944
1	19640001	19820000	18	1.38491746447539
1	19820001	20060000	24	1.59394295698359
1	20060001	20640000	58	1.46916863327831
1	20640001	20740000	10	1.27951760705119
1	20740001	21170000	43	1.62743508676583
1	21170001	21390000	22	1.36452610940716
1	21390001	21490000	10	1.560815489061
1	21490001	21670000	18	1.31603695384453
1	21670001	21810000	14	1.55681768076515
1	21810001	22010000	20	1.30957619284227
1	22010001	22110000	10	1.55358373297495
1	22110001	22420000	31	1.40756349153378
1	22420001	22520000	10	1.63172733484699
1	22520001	22970000	45	1.38367008943266
1	22970001	23190000	22	1.58721767879985
1	23190001	23220000	3	1.33709317242942
1	23220001	24340000	112	1.46520243118503
1	24340001	25270000	93	1.8272828881549
1	25270001	25340000	7	1.26435360311439
1	25340001	31090000	575	1.81667456302394
1	31090001	31240000	15	1.71012288836172
1	31240001	31390000	15	1.8454849853076
1	31390001	31440000	5	2.15083969090099
1	31440001	36080000	464	1.8397375862881
1	36080001	36120000	4	1.58150706416623
1	36120001	36620000	50	1.80963658328939
1	36620001	36760000	14	2.23534885479057
1	36760001	43920000	716	1.85291923682614
1	43920001	44040000	12	1.74146321603923
